date,tweetid,userid,username,text,coords
b'Mon Dec 18 11:33:51 +0000 2017',942719556371525000,66440089,b'Linda Notelovitz',"b'Your story does not necessarily follow the path you imagined it would take. But there is a path,\xe2\x80\xa6 https://t.co/YeoyQhVrAX'","{'type': 'Point', 'coordinates': [-0.16393661, 51.50671243]}"
b'Mon Dec 18 11:33:52 +0000 2017',942719557566902000,262734383,b'Teflon Poch',b'@Craig_Spur @jonhotspur88 I see it more as. We are so pathetic lets just kick them because we are out of our league\xe2\x80\xa6 https://t.co/WYyGqNGbhg',"{'type': 'Point', 'coordinates': [-0.54419833, 52.001747]}"
b'Mon Dec 18 11:33:52 +0000 2017',942719558904958000,16889315,b'Once in Royal David Maloney',"b'The other side of the coin is ""Newport State of Mind"" https://t.co/s2kP3wDgZ2'","{'type': 'Point', 'coordinates': [0.08333333, 51.33333333]}"
b'Mon Dec 18 11:33:52 +0000 2017',942719560775585000,20302510,b'Mr Natwarlal',"b'@chetan_bhagat Pata hai nikamma hai, fail hone se Accha 39% hai \xf0\x9f\x98\x82'","{'type': 'Point', 'coordinates': [-0.20615, 51.4755751]}"
b'Mon Dec 18 11:33:52 +0000 2017',942719560783945000,21431027,b'Ashleigh',b'@Joe_Sugg you back I London yet????? X',"{'type': 'Point', 'coordinates': [-0.165, 51.428]}"
b'Mon Dec 18 11:33:53 +0000 2017',942719564655276000,261716683,b'Emelie Helsen',b'This whole thread \xf0\x9f\x99\x8c\xf0\x9f\x8f\xbb https://t.co/vX4AoiAZMF',"{'type': 'Point', 'coordinates': [-0.20423, 51.51326]}"
b'Mon Dec 18 11:33:56 +0000 2017',942719578018369000,863782518,b'Richard Huddleson',"b'Looking forward to ""Rethinking #Love, #Sex &amp; #Desire"" at @birkbeck_arts in January.  Sounds like your cup of tea? G\xe2\x80\xa6 https://t.co/4CwE9z3mkD'","{'type': 'Point', 'coordinates': [-0.12731805, 51.50711486]}"
b'Mon Dec 18 11:33:57 +0000 2017',942719579503124000,633150941,b'LawrieWilson',b'@AdamGoodingx @Sporf @premierleague @JesseLingard @ManUtd Lol',"{'type': 'Point', 'coordinates': [-0.12731805, 51.50711486]}"
b'Mon Dec 18 11:33:58 +0000 2017',942719584284631000,3288165123,b'Chingford Parish',b'First female Bishop of London appointed - https://t.co/cmUABCc7jX',"{'type': 'Point', 'coordinates': [-0.12731805, 51.50711486]}"
b'Mon Dec 18 11:33:59 +0000 2017',942719587480727000,100599478,b'Meshari Bin Hasan',b'@rainbowdummy \xd9\x81\xd9\x8a \xd8\xad\xd8\xb1\xd9\x81 \xd8\xba\xd9\x84\xd8\xb7',"{'type': 'Point', 'coordinates': [-0.1664813, 51.490747]}"
b'Mon Dec 18 11:33:59 +0000 2017',942719589896605000,19197089,b'Lauren Gooner Webb',b'And Xmas movies #perfect \xf0\x9f\x98\x9c https://t.co/ArFaoFtVz7',"{'type': 'Point', 'coordinates': [0.12924699, 51.55753729]}"
b'Mon Dec 18 11:34:00 +0000 2017',942719591448502000,89781989,b'JaiP',b'@stevehyde360xec @pippaglu @Starcom_UK Wow 5 years? Where does the time go? Best of luck Pippa',"{'type': 'Point', 'coordinates': [-1.08333, 51.65]}"
b'Mon Dec 18 11:34:03 +0000 2017',942719605809741000,19405547,b'Fitter You',b'@chrismayhap GUFFAW!',"{'type': 'Point', 'coordinates': [-0.12731805, 51.50711486]}"
b'Mon Dec 18 11:34:05 +0000 2017',942719614567501000,1099796954,b'JALATHBA',"b'*18,December  \xf0\x9f\x87\xb6\xf0\x9f\x87\xa6 \xe2\x99\xa5\xef\xb8\x8f.*\n*\xd9\xa1\xd9\xa8 \xd8\xaf\xd9\x8a\xd8\xb3\xd9\x85\xd8\xa8\xd8\xb1..* \n      *\xd8\xb1\xd9\x8e\xd8\xa8\xd9\x90\xd9\x91 \xd8\xa7\xd8\xac\xd9\x92\xd8\xb9\xd9\x8e\xd9\x84\xd9\x92 \xd9\x87\xd9\x8e\xd9\x80\xd9\x8e\xd8\xb0\xd9\x8e\xd8\xa7 \xd8\xa8\xd9\x8e\xd9\x84\xd9\x8e\xd8\xaf\xd8\xa7\xd9\x8b \xd8\xa2\xd9\x85\xd9\x90\xd9\x86\xd8\xa7\xd9\x8b.*\n\xd8\x8c\xd8\x8c *\xd9\x85\xd8\xb3\xd9\x80\xd8\xa7\xd9\x83\xd9\x85 \xd9\x88\xd8\xb7\xd9\x86 \xd9\x8a\xd8\xb3\xd8\xaa\xd8\xad\xd9\x82 \xd9\x85\xd9\x86\xd8\xa7 \xd8\xa7\xd9\x84\xd8\xaf\xd8\xb9\xd8\xa7\xd8\xa1*\xe2\x80\xa6 https://t.co/QxbTGE3dlb'","{'type': 'Point', 'coordinates': [-0.0708082, 51.5115509]}"
b'Mon Dec 18 11:34:07 +0000 2017',942719622301802000,303287951,b'\xe2\x9a\x92Sean\xe2\x9a\x92',"b'Just see where Messi picks up the ball, dictator of play https://t.co/QuRglZGc6L'","{'type': 'Point', 'coordinates': [-0.03325, 51.49684]}"
b'Mon Dec 18 11:34:07 +0000 2017',942719623006474000,3016934710,b'DJaneMag',b'Listen to Techno music with Techno Live Sets 365 days a year! Today is the day for Fernanda Martins playing her set\xe2\x80\xa6 https://t.co/ZYTZCCl6dT',"{'type': 'Point', 'coordinates': [-0.12731805, 51.50711486]}"
b'Mon Dec 18 11:34:08 +0000 2017',942719624969441000,27281119,b'Terriann Chambers',"b""Tell Zizzi: stop forcing staff to pay customer's bills! #care2 https://t.co/kZa5qNHqzF""","{'type': 'Point', 'coordinates': [-0.0259451, 51.4789175]}"
